Algorithm,Data,Clusters,Runtime,Runtime_per_Iter,Runtime_speedup_km,Runtime_speedup_bkm,Distances,Dist_speed_up,Timeout
Kmeans,Census,30,50.400002,10.08,0,0,7868628,0,no
Kmeans-d,Census,30,41.599998,8.32,1.211539,0.978365,1624226,4.84454,no
Ball-Kmeans,Census,30,40.700001,8.14,1.238329,1,3191343,2.465616,no
Kmeans,Census,50,71.400002,14.280001,0,0,11305500,0,no
Kmeans-d,Census,50,58.5,11.7,1.220513,0.717949,2485040,4.549424,no
Ball-Kmeans,Census,50,42,8.4,1.7,1,4020819,2.811741,no
Kmeans,Census,60,85,17,0,0,13837933,0,no
Kmeans-d,Census,60,71.400002,14.280001,1.190476,0.648459,2952545,4.686781,no
Ball-Kmeans,Census,60,46.299999,9.26,1.835853,1,4703294,2.942179,no
Kmeans,Census,80,113.099998,22.619999,0,0,18450576,0,no
Kmeans-d,Census,80,93.599998,18.719999,1.208333,0.568376,3867476,4.770702,no
Ball-Kmeans,Census,80,53.200001,10.64,2.12594,1,5722497,3.224218,no
Kmeans,Crop,30,894.299988,81.299995,0,0,110777088,0,no
Kmeans-d,Crop,30,788.900024,71.718185,1.133604,1.131322,13273329,8.34584,no
Ball-Kmeans,Crop,30,892.5,81.13636,1.002017,1,40255972,2.751817,no
Kmeans,Crop,50,1628.099976,135.675003,0,0,203894048,0,no
Kmeans-d,Crop,50,1414.400024,117.866669,1.151089,0.655189,20139724,10.123974,no
Ball-Kmeans,Crop,50,926.700012,77.224998,1.756879,1,59536852,3.42467,no
Kmeans,Crop,60,1947.5,162.291672,0,0,244672864,0,no
Kmeans-d,Crop,60,1708.300049,142.358337,1.140022,0.532166,23335912,10.484821,no
Ball-Kmeans,Crop,60,909.099976,75.758331,2.142229,1,66076744,3.702859,no
Kmeans,Crop,80,2806.399902,215.876923,0,0,354486688,0,no
Kmeans-d,Crop,80,2436.899902,187.453842,1.151627,0.401289,30162964,11.752382,no
Ball-Kmeans,Crop,80,977.900024,75.223076,2.869823,1,83048704,4.268419,no
Kmeans,Twitter,30,84029.29688,840.292969,0,0,1767247488,0,no
Kmeans-d,Twitter,30,56579.10156,565.791016,1.485165,1.744271,79366000,22.267059,no
Ball-Kmeans,Twitter,30,98689.29688,986.892944,0.851453,1,321812544,5.491543,no
Kmeans,Twitter,50,139168.9063,1391.689087,0,0,2945412608,0,no
Kmeans-d,Twitter,50,106728.8984,1067.28894,1.303948,0.991581,91476304,32.198639,no
Ball-Kmeans,Twitter,50,105830.2969,1058.302979,1.315019,1,464467104,6.341488,no
Kmeans,Twitter,60,166479.5938,1664.795898,0,0,3534494976,0,no
Kmeans-d,Twitter,60,130971.6016,1309.716064,1.271112,0.833543,97433752,36.275879,no
Ball-Kmeans,Twitter,60,109170.5,1091.704956,1.52495,1,536030304,6.593834,no
Kmeans,Twitter,80,223673.7031,2236.737061,0,0,4712659968,0,no
Kmeans-d,Twitter,80,189776.9063,1897.769043,1.178614,0.602316,109485784,43.043579,no
Ball-Kmeans,Twitter,80,114305.6016,1143.05603,1.956804,1,695732800,6.773664,no
Kmeans,Birch,30,498.100006,15.09394,0,0,99000000,0,no
Kmeans-d,Birch,30,111.5,3.378788,4.467265,1.280717,6265351,15.801189,no
Ball-Kmeans,Birch,30,142.800003,4.327273,3.488095,1,7218448,13.714859,no
Kmeans,Birch,50,1893.800049,23.672501,0,0,401500000,0,no
Kmeans-d,Birch,50,269.700012,3.37125,7.021876,0.759362,13114883,30.614075,no
Ball-Kmeans,Birch,50,204.800003,2.56,9.24707,1,11611740,34.577076,no
Kmeans,Birch,60,2155.600098,27.635899,0,0,471600032,0,no
Kmeans-d,Birch,60,276.700012,3.502532,7.790387,0.736176,14114643,33.412113,no
Ball-Kmeans,Birch,60,203.699997,2.611538,10.58223,1,12881577,36.610428,no
Kmeans,Birch,80,3246.199951,35.284782,0,0,744000000,0,no
Kmeans-d,Birch,80,365.899994,3.977174,8.871823,0.729161,17571762,42.34066,no
Ball-Kmeans,Birch,80,266.799988,2.9,12.167167,1,17451788,42.631737,no
