Algorithm,Data,Clusters,Prop,Distances,Timeout
Kmeans,Breastcancer,5,0.2,3477,no
Kmeans-d,Breastcancer,5,0.2,1290,no
Ball-Kmeans,Breastcancer,5,0.2,1869,no
Kmeans,Breastcancer,5,0.4,4332,no
Kmeans-d,Breastcancer,5,0.4,1894,no
Ball-Kmeans,Breastcancer,5,0.4,2370,no
Kmeans,Breastcancer,5,0.8,8208,no
Kmeans-d,Breastcancer,5,0.8,3657,no
Ball-Kmeans,Breastcancer,5,0.8,4506,no
Kmeans,Breastcancer,5,1,9104,no
Kmeans-d,Breastcancer,5,1,4425,no
Ball-Kmeans,Breastcancer,5,1,5492,no
Kmeans,CreditRisk,5,0.2,10300,no
Kmeans-d,CreditRisk,5,0.2,3082,no
Ball-Kmeans,CreditRisk,5,0.2,4080,no
Kmeans,CreditRisk,5,0.4,26000,no
Kmeans-d,CreditRisk,5,0.4,7054,no
Ball-Kmeans,CreditRisk,5,0.4,9918,no
Kmeans,CreditRisk,5,0.8,52000,no
Kmeans-d,CreditRisk,5,0.8,14200,no
Ball-Kmeans,CreditRisk,5,0.8,18370,no
Kmeans,CreditRisk,5,1,52000,no
Kmeans-d,CreditRisk,5,1,14982,no
Ball-Kmeans,CreditRisk,5,1,19527,no
Kmeans,Census,5,0.2,1279867,no
Kmeans-d,Census,5,0.2,301041,no
Ball-Kmeans,Census,5,0.2,1025282,no
Kmeans,Census,5,0.4,2758572,no
Kmeans-d,Census,5,0.4,641974,no
Ball-Kmeans,Census,5,0.4,2178464,no
Kmeans,Census,5,0.8,5661857,no
Kmeans-d,Census,5,0.8,1310568,no
Ball-Kmeans,Census,5,0.8,4463415,no
Kmeans,Census,5,1,6579801,no
Kmeans-d,Census,5,1,1539259,no
Ball-Kmeans,Census,5,1,5249293,no
Kmeans,Crop,5,0.2,6165024,no
Kmeans-d,Crop,5,0.2,1535281,no
Ball-Kmeans,Crop,5,0.2,4904793,no
Kmeans,Crop,5,0.4,12073172,no
Kmeans-d,Crop,5,0.4,3000988,no
Ball-Kmeans,Crop,5,0.4,9163316,no
Kmeans,Crop,5,0.8,25173750,no
Kmeans-d,Crop,5,0.8,6196285,no
Ball-Kmeans,Crop,5,0.8,20039320,no
Kmeans,Crop,5,1,22637056,no
Kmeans-d,Crop,5,1,5986605,no
Ball-Kmeans,Crop,5,1,18869396,no
Kmeans,Twitter,5,0.2,34586728,no
Kmeans-d,Twitter,5,0.2,7631821,no
Ball-Kmeans,Twitter,5,0.2,10173062,no
Kmeans,Twitter,5,0.4,79322000,no
Kmeans-d,Twitter,5,0.4,17382364,no
Ball-Kmeans,Twitter,5,0.4,23151786,no
Kmeans,Twitter,5,0.8,174275104,no
Kmeans-d,Twitter,5,0.8,37635800,no
Ball-Kmeans,Twitter,5,0.8,48953868,no
Kmeans,Twitter,5,1,243798496,no
Kmeans-d,Twitter,5,1,52370316,no
Ball-Kmeans,Twitter,5,1,66806380,no
Kmeans,Birch,5,0.2,2770000,no
Kmeans-d,Birch,5,0.2,643677,no
Ball-Kmeans,Birch,5,0.2,1140333,no
Kmeans,Birch,5,0.4,4560000,no
Kmeans-d,Birch,5,0.4,1087669,no
Ball-Kmeans,Birch,5,0.4,1834783,no
Kmeans,Birch,5,0.8,10960000,no
Kmeans-d,Birch,5,0.8,2556481,no
Ball-Kmeans,Birch,5,0.8,4508577,no
Kmeans,Birch,5,1,13950000,no
Kmeans-d,Birch,5,1,3226912,no
Ball-Kmeans,Birch,5,1,5656765,no
